CNTYVTD,VTDKEY,BlacklockR_18G_Sup Ct 2,KirklandD_18G_Sup Ct 2
"1132924",2348,585,576
"1132925",2349,1294,727
"1132926",2350,622,543
"1132927",2351,1555,1548
"1132928",2352,1288,603
"1132929",2353,415,349
"1132940",2354,677,283
"1132941",2355,1620,1119
"1132942",2356,1743,1097
"1133000",2357,874,1250
"1133001",2358,12,175
"1133002",2359,60,585
"1133003",2360,100,905
"1133004",2361,195,1040
"1133005",2362,89,169
"1133006",2363,1038,1128
"1133007",2364,369,382
"1133008",2365,973,2706
"1133009",2366,430,1099
"1133010",2367,110,100
"1133011",2368,137,709
"1133012",2369,12,51
"1133013",2370,62,230
"1133014",2371,268,514
"1133015",2372,45,62
"1133016A",2373,142,716
"1133016B",2374,0,0
"1133017",2375,16,282
"1133018",2376,31,678
"1133019",2377,9,257
"1133020",2378,16,109
"1133021",2379,9,320
"1133022",2380,17,540
"1133023",2381,13,498
"1133024",2382,19,526
"1133025",2383,3,51
"1133026",2384,9,278
"1133027",2385,17,501
"1133028",2386,13,410
"1133029",2387,11,301
"1133030",2388,3,6
"1133031",2389,68,193
"1133032",2390,43,466
"1133033",2391,7,134
"1133034",2392,20,546
"1133035",2393,25,501
"1133036",2394,3,2
"1133037",2395,6,165
"1133038",2396,3,395
"1133039",2397,35,930
"1133040",2398,14,419
"1133041",2399,1,41
"1133042",2400,17,540
"1133043",2401,16,712
"1133044",2402,31,880
"1133045",2403,11,248
"1133046",2404,155,1049
"1133047",2405,225,529
"1133048",2406,36,1095
"1133049",2407,25,818
"1133050",2408,35,674
"1133051",2409,16,316
"1133052",2410,34,911
"1133053",2411,64,916
"1133054",2412,73,1418
"1133055",2413,106,1337
"1133056",2414,65,1309
"1133057",2415,81,1165
"1133058",2416,30,1055
"1133059",2417,13,672
"1133060",2418,18,721
"1133061",2419,10,542
"1133062",2420,33,918
"1133063",2421,84,1563
"1133064",2422,30,1264
"1133065",2423,35,1016
"1133066",2424,34,799
"1133067",2425,35,890
"1133068",2426,69,1637
"1133069",2427,22,712
"1133070",2428,39,1311
"1133071",2429,39,1088
"1133072",2430,3,17
"1133073",2431,4,66
"1133074",2432,36,234
"1133075",2433,11,73
"1133076",2434,0,0
"1133077",2435,368,1479
"1133078",2436,176,1098
"1133079",2437,85,161
"1133080",2438,148,383
"1133081",2439,398,577
"1133082",2440,71,933
"1133083",2441,162,464
"1133084",2442,111,589
"1133086",2443,835,1192
"1133087",2444,0,0
"1133088",2445,8,25
"1133089",2446,7,9
"1133090",2447,210,692
"1133091",2448,0,0
"1133092",2449,36,658
"1133093",2450,0,9
"1133094",2451,0,0
"1133095",2452,0,0
"1133096",2453,0,0
"1133097",2454,0,77
"1133098",2455,2,104
"1133099",2456,5,122
"1133100",2457,320,1029
"1133101",2458,130,357
"1133102",2459,241,1221
"1133103",2460,291,1500
"1133104",2461,586,2266
"1133105",2462,420,1072
"1133106",2463,305,1649
"1133107",2464,190,1271
"1133108",2465,656,742
"1133109",2466,1019,1209
"1133110",2467,235,1499
"1133111",2468,5,20
"1133112",2469,4,12
"1133113",2470,0,4
"1133114",2471,0,0
"1133200",2472,685,765
"1133201",2473,475,574
"1133202",2474,302,963
"1133203",2475,360,844
"1133204",2476,468,882
"1133205",2477,98,869
"1133206",2478,702,817
"1133207",2479,610,891
"1133208",2480,314,649
"1133209",2481,65,52
"1133210",2482,468,676
"1133211",2483,145,454
"1133300",2484,773,793
"1133301",2485,791,761
"1133302",2486,378,438
"1133303",2487,426,950
"1133304",2488,716,785
"1133305",2489,973,1220
"1133306",2490,292,471
"1133307",2491,313,579
"1133308",2492,368,566
"1133309",2493,528,659
"1133310",2494,607,659
"1133311",2495,584,606
"1133312",2496,765,1076
"1133313",2497,881,2021
"1133314",2498,648,1495
"1133315",2499,242,437
"1133316",2500,639,873
"1133317",2501,291,689
"1133318",2502,336,553
"1133400",2503,53,258
"1133401",2504,1,1
"1133402",2505,46,133
"1133404",2506,263,677
"1133405",2507,382,989
"1133406",2508,13,4
"1133407",2509,86,88
"1133408",2510,211,659
"1133409",2511,84,193
"1133410",2512,40,97
"1133411",2513,1,1
"1133500",2514,2133,1012
"1133501",2515,5,1
"1133600",2516,241,1043
"1133601",2517,280,1082
"1133602",2518,78,352
"1133603",2519,52,146
"1133604",2520,335,1355
"1133605",2521,251,1455
"1133606",2522,136,1305
"1133607",2523,283,2356
"1133608",2524,114,1721
"1133609",2525,318,1586
"1133610",2526,95,223
"1133611",2527,187,483
"1133612",2528,247,1656
"1133613",2529,102,275
"1133614",2530,54,433
"1133615",2531,145,1297
"1133616",2532,36,322
"1133617",2533,90,1328
"1133618",2534,23,210
"1133619",2535,26,72
"1133620",2536,75,606
"1133621",2537,0,0
"1133700",2538,850,1403
"1133701",2539,948,1285
"1133702",2540,578,751
"1133703",2541,22,9
"1133800",2542,123,2303
"1133801",2543,27,145
"1133802",2544,219,1927
"1133803",2545,138,1785
"1133805",2546,143,2497
"1133806",2547,31,493
"1133807",2548,183,1131
"1133808",2549,683,1503
"1133809",2550,39,145
"1133900",2551,444,2608
"1133920",2552,684,498
"1133921",2553,962,1086
"1133922",2554,5,34
"1133940A",2555,274,648
"1133940B",2556,0,0
"1133950",2557,198,684
"1134000",2558,51,153
"1134001",2559,110,485
"1134002",2560,245,401
"1134003A",2561,18,103
"1134003B",2562,0,0
"1134004",2563,224,672
"1134005",2564,168,336
"1134006A",2565,269,499
"1134006B",2566,0,0
"1134007",2567,57,77
"1134008",2568,28,197
"1134009A",2569,78,632
"1134009B",2570,0,0
"1134010",2571,316,512
"1134011",2572,96,332
"1134012",2573,18,29
"1134013",2574,112,115
"1134014",2575,735,576
"1134015",2576,172,759
"1134016",2577,201,822
"1134017",2578,85,202
"1134018",2579,274,473
"1134019",2580,220,1112
"1134020",2581,94,417
"1134021",2582,380,2098
"1134022",2583,218,1277
"1134023",2584,1,0
"1134024",2585,90,727
"1134025",2586,6,129
"1134026",2587,3,60
"1134027",2588,16,109
"1134028",2589,16,366
"1134029",2590,1,2
"1134030",2591,1,26
"1134031",2592,56,786
"1134032",2593,385,1483
"1134033",2594,283,906
"1134035",2595,82,537
"1134036",2596,28,326
"1134037",2597,11,82
"1134038",2598,85,913
"1134039",2599,9,229
"1134040",2600,12,299
"1134041",2601,17,301
"1134043",2602,54,556
"1134044",2603,24,423
"1134046",2604,24,465
"1134047",2605,16,340
"1134048",2606,10,2
"1134049",2607,0,0
"1134050",2608,527,1821
"1134051",2609,0,0
"1134052",2610,536,1783
"1134053",2611,39,172
"1134054",2612,23,179
"1134055",2613,200,934
"1134056",2614,123,1025
"1134057",2615,108,645
"1134058",2616,56,404
"1134059",2617,26,158
"1134060",2618,123,820
"1134061",2619,151,859
"1134062",2620,112,679
"1134063",2621,231,1254
"1134065",2622,83,357
"1134066",2623,75,338
"1134067",2624,139,774
"1134068",2625,136,740
"1134069",2626,222,1195
"1134070",2627,81,612
"1134071",2628,14,157
"1134072",2629,13,101
"1134073",2630,173,722
"1134074",2631,281,1323
"1134075",2632,66,386
"1134076",2633,191,1004
"1134077",2634,92,512
"1134078",2635,124,719
"1134079",2636,705,2054
"1134080",2637,185,317
"1134081",2638,174,1123
"1134082",2639,48,371
"1134083",2640,105,508
"1134084",2641,22,233
"1134085",2642,57,368
"1134086",2643,158,981
"1134087",2644,54,314
"1134088",2645,14,136
"1134090",2646,12,20
"1134091A",2647,0,0
"1134091B",2648,0,0
"1134091C",2649,0,0
"1134092",2650,33,66
"1134093",2651,0,28
"1134094",2652,88,202
"1134095",2653,9,19
"1134096",2654,3,2
"1134097A",2655,132,405
"1134097B",2656,0,0
"1134098",2657,15,20
"1134099",2658,396,302
"1134100",2659,3,12
"1134101",2660,3,34
"1134102",2661,81,101
"1134103",2662,20,72
"1134104",2663,2,11
"1134105",2664,1,7
"1134106",2665,44,56
"1134107",2666,0,26
"1134108",2667,0,23
"1134109",2668,1,18
"1134110",2669,14,387
"1134111",2670,30,99
"1134112",2671,46,16
"1134113",2672,131,752
"1134114",2673,87,633
"1134115",2674,75,159
"1134116",2675,0,0
"1134117",2676,3,11
"1134118",2677,2,5
"1134119",2678,1,1
"1134120",2679,22,207
"1134121",2680,0,0
"1134122",2681,0,0
"1134123",2682,0,0
"1134124",2683,0,0
"1134125",2684,0,0
"1134300",2685,134,529
"1134500",2686,500,847
"1134501",2687,512,713
"1134502",2688,673,1260
"1134503",2689,600,1586
"1134504",2690,264,457
"1134505",2691,413,605
"1134506",2692,267,400
"1134507",2693,40,422
"1134508",2694,88,183
"1134509",2695,392,356
"1134510",2696,294,613
"1134511",2697,302,475
"1134512",2698,308,291
"1134513",2699,326,713
"1134514",2700,330,331
"1134515",2701,219,607
"1134516",2702,3,9
"1134517",2703,1029,821
"1134518",2704,348,557
"1134519",2705,757,1148
"1134520",2706,106,307
"1134521",2707,1003,1269
"1134522",2708,593,1137
"1134523",2709,121,209
"1134525",2710,211,449
"1134527",2711,191,473
"1134528",2712,0,0
"1134529",2713,172,254
"1134530",2714,12,89
"1134531",2715,162,131
"1134532",2716,61,79
"1134533",2717,160,362
"1134534",2718,7,34
"1134535",2719,97,256
"1134536",2720,7,18
"1134537",2721,2,3
"1134538",2722,113,284
"1134539",2723,0,0
"1134540",2724,0,0
"1134541",2725,0,0
"1134542",2726,0,0
"1134600",2727,592,637
"1134601",2728,1008,992
"1134602",2729,465,570
"1134603",2730,7,16
"1134604",2731,625,816
"1134605",2732,563,668
"1134606",2733,618,809
"1134607",2734,263,524
"1134608A",2735,577,1076
"1134608B",2736,0,0
"1134609",2737,196,640
"1134610",2738,629,613
"1134611",2739,359,472
"1134612",2740,98,87
"1134613",2741,76,239
"1134614",2742,203,103
"1134615",2743,38,74
"1134616",2744,196,345
"1134617",2745,50,53
"1134618",2746,108,148
"1134619",2747,431,335
"1134620",2748,422,468
"1134621",2749,381,1451
"1134622",2750,402,657
"1134623",2751,451,776
"1134624",2752,432,474
"1134625",2753,634,601
"1134626",2754,846,749
"1134627A",2755,988,1429
"1134627B",2756,0,0
"1134628",2757,170,704
"1134629",2758,192,422
"1134630",2759,439,463
"1134631",2760,372,371
"1134632",2761,235,683
"1134633",2762,118,292
"1134634",2763,816,967
"1134635",2764,222,583
"1134636",2765,0,6
"1134637",2766,678,1292
"1134639",2767,87,215
"1134640",2768,352,942
"1134641",2769,113,168
"1134642",2770,33,40
"1134644",2771,36,130
"1134645",2772,3,2
"1134646",2773,113,111
"1134647",2774,1035,1127
"1134648",2775,219,689
"1134649",2776,7,37
"1134651",2777,4,18
"1134652",2778,112,262
"1134653",2779,7,16
"1134654",2780,200,321
"1134655",2781,33,6
"1134656",2782,13,40
"1134657",2783,6,32
"1134658",2784,17,22
"1134659",2785,35,96
"1134660",2786,9,16
"1134661",2787,103,292
"1134662",2788,38,79
"1134663",2789,0,0
"1134664",2790,419,638
"1150001",2791,362,151
"1150002",2792,413,211
"1150003",2793,601,189
"1150004",2794,527,173
"1150005",2795,71,17
"1150011",2796,65,11
"1150012",2797,27,4
"1150013",2798,53,6
"1150017",2799,41,6
"1170001",2800,417,194
"1170002",2801,405,265
"1170003",2802,1349,322
"1170004",2803,478,264
"1190001",2804,387,55
"1190003",2805,154,60
"1190004",2806,225,54
"1190005",2807,344,74
"1190007",2808,120,24
"1190009",2809,149,13
"1190010",2810,171,57
"1211000",2811,1431,278
"1211001",2812,688,183
"1211002",2813,485,164
"1211003",2814,1539,381
"1211004",2815,1238,993
"1211005",2816,1136,294
"1211006",2817,1421,1007
"1211007",2818,1428,1118
"1211008",2819,641,180
"1211009",2820,678,768
"1211010",2821,878,677
"1211011",2822,647,973
"1211012",2823,877,968
"1211013",2824,818,761
"1211014",2825,31,99
"1211015",2826,1005,756
"1211016",2827,1135,726
"1211017",2828,552,334
"1211018",2829,1644,1240
"1211019",2830,743,744
"1211020",2831,1866,856
"1211021",2832,1301,688
"1211022",2833,1223,745
"1211023",2834,1394,728
"1211024",2835,1038,363
"1211025",2836,1543,749
"1211026",2837,1015,1496
"1211027",2838,188,229
"1211028",2839,583,711
"1211029",2840,1158,1002
"1211030",2841,1745,944
"1211031",2842,977,566
"1211032",2843,2025,1489
"1211033",2844,876,879
"1211034",2845,1518,1131
"1211035",2846,1245,710
"1211036",2847,1968,911
"1211037",2848,338,112
"1211038",2849,74,113
"1211039",2850,4,0
"1211040",2851,1085,583
"1211041",2852,693,747
"1211042",2853,85,10
"1211043",2854,93,42
"1211044",2855,1192,1006
"1211045",2856,788,148
"1211046",2857,1274,1047
"1211047",2858,219,129
"1211048",2859,346,103
"1211049",2860,56,76
"1211050",2861,828,557
"1211051",2862,833,497
"1211052",2863,937,712
"1211053",2864,1365,456
"1211054",2865,235,348
"1211055",2866,374,324
"1211056",2867,511,297
"1211057",2868,843,401
"1212000",2869,453,1310
"1212001",2870,480,1302
"1212002",2871,796,1593
"1212003",2872,474,670
"1212004",2873,817,1175
"1212005",2874,1458,1227
"1212006",2875,1004,944
"1212007",2876,736,1326
"1212008",2877,900,1134
"1212009",2878,723,717
"1212010",2879,1308,1228
"1212011",2880,881,963
"1212012",2881,813,369
"1212013",2882,609,470
"1212014",2883,1010,713
"1212015A",2884,1123,1077
"1212015B",2885,0,0
"1212016",2886,1044,1065
"1212017",2887,1908,1147
"1212018",2888,671,984
"1212019",2889,0,0
"1212020",2890,1871,930
"1212021",2891,1053,1096
"1212022",2892,1053,653
"1212023",2893,1091,1042
"1212024",2894,624,557
"1212025",2895,693,513
"1212026",2896,1282,854
"1212027",2897,1261,827
"1212028",2898,953,1097
"1212029",2899,615,634
"1212030",2900,1330,1454
"1212031",2901,1032,1049
"1212032",2902,720,690
"1212033",2903,705,1015
"1212034",2904,449,756
"1212035",2905,781,860
"1212036",2906,298,180
"1212096",2907,0,0
"1212097",2908,0,0
"1212098",2909,0,0
"1212099",2910,0,0
"1213000",2911,1469,908
"1213001",2912,1446,622
"1213002",2913,2017,899
"1213003",2914,1067,562
"1213004",2915,1414,623
"1213005",2916,977,406
"1213006",2917,1343,953
"1213007",2918,1161,1247
"1213008",2919,1070,712
"1213009",2920,857,641
"1213010",2921,1216,1203
"1213011",2922,906,1284
"1213012",2923,583,501
"1213013",2924,804,675
"1213014",2925,636,615
"1213015",2926,565,714
"1213016",2927,381,655
"1213017",2928,437,1175
"1213018",2929,268,322
"1213019",2930,937,1453
"1213020",2931,124,201
"1213021",2932,1204,1199
"1213022",2933,82,50
"1213023",2934,147,114
"1213024",2935,1223,781
"1213025",2936,1553,883
"1213026",2937,981,628
"1213027",2938,1684,1028
"1213028",2939,1679,984
"1213029",2940,871,627
"1213030",2941,994,561
"1213031",2942,1377,713
"1213032",2943,288,605
"1213033",2944,878,495
"1213098",2945,0,0
"1213099",2946,0,0
"1214000",2947,1896,584
"1214001",2948,667,201
"1214002",2949,1723,412
"1214003",2950,2558,703
"1214004",2951,209,932
"1214005",2952,749,826
"1214006",2953,527,958
"1214007",2954,430,1247
"1214008",2955,241,772
"1214009",2956,512,1463
"1214010",2957,437,676
"1214011",2958,725,1915
"1214012",2959,800,669
"1214013",2960,46,179
"1214014",2961,111,878
"1214015",2962,119,291
"1214016",2963,1,1
"1214017",2964,2203,505
"1214018",2965,889,323
"1214019",2966,92,34
"1214020",2967,515,142
"1214021",2968,940,204
"1214022",2969,1301,407
"1214023A",2970,1492,573
"1214023B",2971,0,0
"1214024",2972,1335,652
"1214025",2973,1281,894
"1214026",2974,593,428
"1214027",2975,1477,965
"1214028",2976,1999,697
"1214029",2977,406,130
"1214030",2978,212,86
"1214031",2979,2061,684
"1214032",2980,2348,890
"1214033",2981,1054,437
"1214034",2982,1486,756
"1214035",2983,1822,686
"1214036",2984,1497,342
"1214037",2985,372,773
"1214038",2986,115,57
"1214039",2987,153,1047
"1214040",2988,362,431
"1214041",2989,561,597
"1214042",2990,15,7
"1214043",2991,1220,443
"1214044",2992,1519,533
"1214045",2993,367,2122
"1214046",2994,1674,702
"1214047",2995,858,416
"1214048",2996,1526,706
"1214049",2997,811,203
"1230101",2998,675,128
"1230102",2999,148,223
"1230201",3000,230,34
"1230202",3001,463,107
"1230203",3002,444,64
"1230301",3003,675,99
"1230302",3004,502,100
"1230303",3005,184,49
"1230401",3006,969,244
"1230402",3007,631,69
"1250001",3008,61,9
"1250002",3009,54,5
"1250003A",3010,45,4
"1250003B",3011,22,3
"1250003C",3012,106,13
"1250004A",3013,78,27
"1250004B",3014,4,1
"1250005",3015,111,11
"1250006",3016,155,30
"1270001",3017,245,432
"1270002",3018,164,486
"1270003",3019,52,127
"1270004",3020,29,32
"1270005",3021,71,373
"1270006",3022,135,280
"1270007",3023,70,188
"1290101",3024,122,10
"1290102",3025,167,25
"1290201",3026,339,62
"1290301",3027,109,1
"1290303",3028,139,20
"1290401",3029,218,38
"1310001",3030,174,692
"1310002",3031,123,530
"1310003",3032,50,216
"1310004",3033,31,53
"1310005",3034,54,143
"1310006",3035,14,56
"1310007",3036,43,26
"1310008",3037,412,577
"1310009",3038,103,438
"1330001",3039,1255,171
"1330002",3040,168,25
"1330003",3041,607,137
"1330004",3042,181,17
"1330005",3043,287,46
"1330006",3044,179,27
"1330007",3045,1054,115
"1330008",3046,1309,215
"1330009",3047,323,33
"1350101",3048,1192,469
"1350102",3049,691,375
"1350103",3050,408,172
"1350104",3051,95,26
"1350106",3052,484,149
"1350107",3053,331,73
"1350108",3054,1005,240
"1350109",3055,100,17
"1350110",3056,1338,446
"1350111",3057,150,102
"1350201",3058,2782,597
"1350202",3059,1269,277
"1350203",3060,1179,301
"1350204",3061,590,189
"1350205",3062,805,219
"1350206",3063,330,54
"1350207",3064,920,85
"1350208",3065,1533,425
"1350209",3066,426,154
"1350301",3067,624,415
"1350302",3068,303,148
"1350303",3069,434,250
"1350304",3070,99,86
"1350305",3071,79,96
"1350306",3072,199,174
"1350307",3073,449,314
"1350308",3074,317,116
"1350309",3075,416,187
"1350311",3076,288,161
"1350312",3077,503,175
"1350401",3078,214,103
"1350402",3079,172,386
"1350403",3080,185,581
"1350404",3081,313,197
"1350405",3082,72,208
"1350406",3083,371,439
"1350407",3084,259,101
"1350408",3085,81,117
"1350409",3086,225,171
"1350412",3087,110,118
"1370001",3088,66,24
"1370002",3089,238,27
"1370003",3090,182,31
"1370004",3091,108,36
"1390101",3092,1313,528
"1390102",3093,1599,475
"1390103",3094,1876,624
"1390104",3095,1663,445
"1390105",3096,2016,630
"1390106",3097,1641,355
"1390107",3098,1714,574
"1390108",3099,1523,460
"1390109",3100,902,339
"1390110",3101,1340,1070
"1390111",3102,985,309
"1390112",3103,786,214
"1390113",3104,157,595
"1390114",3105,789,295
"1390115",3106,600,304
"1390116",3107,795,305
"1390117",3108,902,367
"1390118",3109,1058,447
"1390119",3110,621,195
"1390120",3111,235,70
"1390121",3112,852,317
"1390122",3113,536,195
"1390123",3114,69,282
"1390124",3115,177,384
"1390125",3116,1451,485
"1390126",3117,326,180
"1390127",3118,145,61
"1390128",3119,33,37
"1390129",3120,271,108
"1390130",3121,226,97
"1390131",3122,681,266
"1390132",3123,260,59
"1390133",3124,210,77
"1390134",3125,379,53
"1390135",3126,1790,352
"1390136",3127,304,65
"1390137",3128,593,142
"1390138",3129,718,215
"1390139",3130,533,138
"1390140",3131,1851,798
"1390141",3132,905,284
"1390142",3133,784,314
"1390143",3134,1265,461
"1390144",3135,449,708
"1390145",3136,865,988
"1390146",3137,943,585
"1390147",3138,1416,710
"1390148",3139,664,579
"1390149",3140,435,246
"1410001",3141,250,600
"1410002",3142,356,964
"1410003",3143,369,735
"1410004",3144,260,488
"1410005",3145,464,873
"1410006",3146,686,588
"1410007",3147,599,894
"1410008",3148,963,684
"1410009",3149,716,1057
"1410010",3150,422,1348
"1410011",3151,758,1573
"1410012",3152,277,457
"1410013",3153,520,1133
"1410014",3154,912,1180
"1410015",3155,709,833
"1410016",3156,455,1340
"1410017",3157,404,539
"1410018",3158,857,992
"1410019",3159,531,1198
"1410020",3160,227,467
"1410021",3161,628,684
"1410022",3162,464,859
"1410023",3163,384,455
"1410024",3164,776,1109
"1410025",3165,476,930
"1410026",3166,315,651
"1410027",3167,247,726
"1410028",3168,31,137
"1410029",3169,309,919
"1410030",3170,10,68
"1410031",3171,124,520
"1410032",3172,259,685
"1410033",3173,361,841
"1410034",3174,40,260
"1410035",3175,356,828
"1410036",3176,147,871
"1410037",3177,100,709
"1410038",3178,145,744
"1410039",3179,41,234
"1410040",3180,66,306
"1410041",3181,66,375
"1410042",3182,96,607
"1410043",3183,546,619
"1410044",3184,663,1034
"1410045",3185,574,1057
"1410046",3186,191,439
"1410047",3187,529,781
"1410048",3188,185,655
"1410049",3189,245,425
"1410050",3190,376,873
"1410051",3191,368,619
"1410052",3192,285,682
"1410053",3193,342,925
"1410054",3194,220,607
"1410055",3195,400,754
"1410056",3196,410,661
"1410057",3197,212,461
"1410058",3198,264,490
"1410059",3199,271,836
"1410060",3200,597,620
"1410061",3201,267,470
"1410062",3202,129,385
"1410063",3203,204,817
"1410064",3204,210,864
"1410065",3205,84,94
"1410066",3206,207,718
"1410067",3207,216,729
"1410068",3208,62,224
"1410069",3209,353,1386
"1410070",3210,236,944
"1410071",3211,191,778
"1410072",3212,118,484
"1410073",3213,93,450
"1410074",3214,129,752
"1410075",3215,206,603
"1410076",3216,118,475
"1410077",3217,198,852
"1410078",3218,108,466
"1410079",3219,40,221
"1410080",3220,66,539
"1410081",3221,28,122
"1410082",3222,121,737
"1410083",3223,69,452
"1410084",3224,137,758
"1410085",3225,78,544
"1410086",3226,71,111
"1410087",3227,0,3
"1410088A",3228,128,135
"1410088B",3229,0,1
"1410089",3230,290,1044
"1410090",3231,345,684
"1410091",3232,134,344
"1410092",3233,553,1030
"1410093",3234,206,548
"1410094",3235,357,920
"1410095",3236,467,966
"1410096",3237,579,1057
"1410097",3238,296,712
"1410098",3239,428,715
"1410099",3240,150,433
"1410100",3241,413,1081
"1410101",3242,461,867
"1410102",3243,277,848
"1410103",3244,413,632
"1410104",3245,487,955
"1410105",3246,402,987
"1410106",3247,353,1021
"1410107",3248,324,765
"1410108",3249,453,644
"1410109",3250,298,645
"1410110",3251,461,1110
"1410111",3252,217,791
"1410112",3253,276,1221
"1410113",3254,286,867
"1410114",3255,405,1402
"1410115",3256,268,685
"1410116",3257,419,1216
"1410117",3258,377,1104
"1410118",3259,330,837
"1410119",3260,361,915
"1410120",3261,339,1074
"1410121",3262,226,752
"1410122",3263,382,1297
"1410123",3264,264,1090
"1410124",3265,245,981
"1410125",3266,498,1566
"1410126",3267,723,1686
"1410127",3268,48,124
"1410128",3269,170,400
"1410129",3270,418,1010
"1410130",3271,437,1259
"1410131",3272,184,516
"1410132",3273,28,133
"1410133",3274,166,903
"1410134",3275,120,413
"1410135",3276,151,815
"1410136",3277,106,621
"1410137",3278,106,718
"1410138",3279,125,757
"1410139",3280,194,763
"1410140",3281,97,599
"1410141",3282,90,459
"1410142",3283,62,424
"1410143",3284,145,927
"1410144",3285,171,915
"1410145",3286,153,853
"1410146",3287,77,474
"1410147",3288,121,515
"1410148",3289,167,841
"1410149",3290,201,917
"1410150",3291,117,594
"1410151",3292,123,752
"1410152",3293,82,661
"1410153",3294,164,903
"1410154",3295,141,773
"1410155",3296,67,394
"1410156",3297,177,1012
"1410157",3298,97,600
"1410158",3299,379,762
"1410159",3300,97,553
"1410160",3301,159,809
"1410161",3302,87,366
"1410162",3303,205,1079
"1410163",3304,211,809
"1410164",3305,245,1098
"1410165",3306,176,1103
"1410166",3307,414,708
"1410167",3308,177,1044
"1410168",3309,414,1026
"1410169",3310,176,798
"1410170",3311,376,772
"1410171",3312,100,543
"1410172",3313,272,1093
"1410173",3314,141,394
"1410174",3315,1,2
"1410175",3316,22,96
"1410176",3317,214,346
"1410177",3318,126,177
"1410178",3319,226,339
"1410179",3320,17,223
"1410180",3321,89,572
"1410181",3322,318,661
"1410182",3323,147,482
"1410183",3324,0,0
"1410184",3325,0,0
"1410185",3326,164,194
"1410186",3327,129,258
"1410187",3328,1,0
"1410188",3329,19,32
"1410189",3330,4,3
"1410190",3331,0,0
"1410191",3332,0,0
"1410192",3333,585,1092
"1410193",3334,118,243
"1410194",3335,277,432
"1410195",3336,252,580
"1410196",3337,341,883
"1410197",3338,335,983
"1410198",3339,538,1250
"1410199",3340,307,610
"1410200",3341,19,40
"1410201",3342,377,767
"1410202",3343,312,628
"1410203",3344,244,480
"1410204",3345,0,1
"1410205",3346,168,722
"1410206",3347,52,222
"1410207",3348,111,594
"1410208",3349,92,464
"1430010",3350,377,164
"1430011",3351,160,82
"1430012",3352,611,137
"1430018",3353,921,145
"1430019",3354,626,116
"1430020",3355,532,113
"1430021",3356,576,123
"1430023",3357,204,55
"1430024",3358,400,92
"1430025",3359,383,53
"1430030",3360,350,47
"1430031",3361,623,89
"1430032",3362,691,148
"1430033",3363,263,160
"1430034",3364,613,84
"1430035",3365,31,37
"1430041",3366,392,49
"1430044",3367,1044,142
"1430045",3368,592,254
"1430046",3369,259,101
"1430047",3370,467,133
"1450101",3371,157,129
"1450104",3372,341,60
"1450105",3373,265,153
"1450201",3374,238,58
"1450203",3375,19,201
"1450204",3376,77,245
"1450301",3377,256,52
"1450302",3378,107,46
"1450303",3379,324,34
"1450304",3380,340,137
"1450403",3381,382,143
"1450404",3382,335,97
"1450405",3383,261,110
"1470001",3384,525,145
"1470002",3385,596,83
"1470003",3386,224,96
"1470004",3387,480,196
"1470005",3388,256,56
"1470006",3389,325,70
"1470007",3390,236,52
"1470009",3391,434,88
"1470010",3392,1085,224
"1470011",3393,1104,210
"1470012",3394,561,90
"1470013",3395,338,83
"1470015",3396,405,64
"1470016",3397,164,32
"1470018",3398,1129,333
"1470019",3399,680,223
"1490002",3400,103,28
"1490003",3401,219,40
"1490004",3402,423,95
"1490005",3403,145,17
"1490006",3404,242,71
"1490007",3405,349,74
"1490008",3406,210,39
"1490009",3407,130,41
"1490010",3408,343,57
"1490011",3409,237,42
"1490012",3410,193,57
"1490013",3411,309,89
"1490014",3412,148,19
"1490015",3413,190,39
"1490016",3414,679,236
"1490017",3415,243,34
"149001E",3416,430,88
"149001N",3417,886,359
"149001W",3418,355,102
"1490020",3419,398,75
"1490021",3420,139,24
"1490022",3421,100,24
"1490023",3422,134,25
"1490024",3423,144,26
"1490025",3424,1050,325
"1490026",3425,282,72
"1510001",3426,292,75
"1510004",3427,321,90
"1510010",3428,211,82
"1510012",3429,261,102
"1530001",3430,535,104
"1530009",3431,52,1
"1530018",3432,438,85
"1530023",3433,231,185
"1530024",3434,91,40
"153024BA",3435,29,43
"153024BB",3436,0,0
"1550101",3437,50,19
"1550201",3438,97,27
"1550301",3439,69,30
"1550401",3440,77,38
"1571001",3441,776,401
"1571002",3442,230,767
"1571003",3443,173,974
"1571007",3444,1896,2151
"1571008",3445,428,113
"1571010",3446,1810,477
"1571012",3447,523,558
"1571013",3448,791,699
"1571015",3449,536,175
"1571018",3450,884,192
"1571021",3451,418,58
"1571024",3452,426,134
"1571025",3453,1159,829
"1571037",3454,699,576
"1571040",3455,161,726
"1571048",3456,249,529
"1571054",3457,125,82
"1571058",3458,115,315
"1571067",3459,577,1105
"1571068",3460,242,26
"1571072",3461,46,15
"1571073",3462,461,214
"1571074",3463,811,1180
"1571076",3464,1006,1934
"1571085",3465,873,842
"1571087",3466,834,444
"1571094",3467,1,4
"1571097",3468,1641,1387
"1571103",3469,2159,1046
"1571109",3470,286,256
"1571114",3471,179,2091
"1571118",3472,2006,1563
"1571120",3473,1398,665
"1571128",3474,1514,687
"1571134",3475,519,1486
"1571141",3476,1080,569
"1571152",3477,543,335
"1571153",3478,63,1185
"1571154",3479,673,831
"1572016",3480,848,1198
"1572017",3481,67,1299
