CNTYVTD,VTDKEY,MillerR_18G_Ag Comm,OlsonD_18G_Ag Comm,CarpenterL_18G_Ag Comm
"0090011",88,63,9,1
"0110101",89,217,13,3
"0110201",90,106,21,5
"0110202",91,39,8,2
"0110301",92,163,9,3
"0110303",93,24,9,0
"0110401",94,113,11,3
"0110402",95,99,6,3
"0110404",96,19,0,0
"0130001",97,269,91,13
"0130002",98,276,204,17
"0130003",99,381,232,12
"0130004",100,42,21,2
"0130005",101,359,323,21
"0130006",102,48,4,1
"0130007",103,385,238,29
"0130008",104,167,86,6
"0130009",105,65,16,0
"0130010",106,346,213,11
"0130011",107,35,8,0
"0130012",108,354,220,17
"0130013",109,699,368,27
"0130014",110,135,50,3
"0130015",111,432,357,27
"0130016",112,78,52,2
"0130017",113,285,508,20
"0130018",114,406,258,13
"0130019",115,137,60,4
"0130020",116,1460,447,30
"0130021",117,119,25,0
"0130022",118,315,82,4
"0130023",119,148,122,12
"0130024",120,526,282,20
"0150101",121,566,139,10
"0150102",122,609,166,12
"0150103",123,776,126,14
"0150104",124,391,78,5
"0150205",125,893,195,24
"0150206",126,291,56,5
"0150207",127,209,25,3
"0150208",128,360,67,8
"0150209",129,309,82,4
"0150210",130,376,63,5
"0150211",131,193,30,3
"0150312",132,345,36,7
"0150313",133,228,247,7
"0150314",134,1064,310,25
"0150415",135,508,208,7
"0150416",136,486,166,14
"0150417",137,227,103,5
"0150418",138,678,131,9
"0170001",139,361,108,9
"0170002",140,518,77,10
"0170003",141,193,78,6
"0170004A",142,95,86,5
"0170004B",143,6,4,0
"0190101",144,795,194,29
"0190102",145,1262,293,39
"0190203",146,934,294,37
"0190204",147,707,217,21
"0190305",148,1138,239,33
"0190306",149,782,124,20
"0190407",150,1144,247,27
"0190408",151,131,57,2
"0190409",152,317,97,16
"0190410",153,289,56,9
"0211001",154,1087,787,75
"0211002",155,628,704,51
"0211003",156,1042,774,65
"0211004",157,573,572,39
"0211022",158,950,713,60
"0212005",159,840,676,42
"0212006",160,540,303,25
"0212007",161,912,341,45
"0212008",162,395,199,13
"0212009",163,416,298,22
"0212010",164,520,248,33
"0212011",165,846,598,61
"0213012",166,390,143,21
"0213013",167,569,306,33
"0213014",168,594,593,36
"0213015",169,446,741,50
"0213016",170,776,663,58
"0214017",171,584,836,39
"0214018",172,256,140,13
"0214019",173,766,647,50
"0214020",174,871,1052,80
"0214021",175,461,270,40
"0230001",176,287,45,11
"0230002",177,232,33,5
"0230003",178,219,37,3
"0230004",179,298,39,5
"0250001",180,558,397,19
"0250002",181,153,12,3
"0250003",182,402,283,19
"0250004",183,135,35,4
"0250005",184,122,45,1
"0250006",185,361,213,18
"0250008",186,90,30,1
"0250009",187,88,228,7
"0250010",188,187,307,16
"0250011",189,89,47,3
"0250012",190,115,53,4
"0250013",191,413,223,18
"0250014",192,81,51,3
"0250016",193,286,202,19
"0250017",194,250,243,6
"0250018",195,683,249,19
"0250019",196,69,149,7
"0270101",197,2721,937,89
"0270102",198,1250,464,49
"0270103",199,1672,750,60
"0270104",200,3171,1002,114
"0270105",201,718,133,5
"0270106",202,671,1351,61
"0270107",203,184,82,9
"0270108",204,760,144,17
"0270109",205,375,564,33
"0270110",206,187,155,16
"0270111",207,1654,984,89
"0270113",208,125,37,3
"0270201",209,754,705,47
"0270202",210,1806,1150,85
"0270203",211,3514,846,115
"0270204",212,403,542,23
"0270205",213,654,1252,40
"0270206",214,316,528,33
"0270207",215,433,914,43
"0270208",216,965,1945,86
"0270209",217,1722,1899,96
"0270210",218,1066,1629,80
"0270301",219,1587,302,62
"0270302",220,1263,798,34
"0270303",221,1235,1017,55
"0270304",222,327,105,5
"0270305",223,1082,468,40
"0270306",224,353,518,26
"0270307",225,286,746,21
"0270308",226,423,468,29
"0270309",227,397,56,11
"0270310",228,261,43,2
"0270311",229,1349,284,24
"0270312",230,811,160,15
"0270313",231,1173,441,40
"0270314",232,710,550,37
"0270315",233,2206,1161,101
"0270317",234,2759,1281,88
"0270401",235,491,160,29
"0270402",236,986,450,27
"0270404",237,632,1218,46
"0270405",238,478,1319,60
"0270406",239,484,548,26
"0270408",240,866,1598,60
"0270409",241,443,451,24
"0270410",242,257,439,26
"0270412",243,517,1668,56
"0270413",244,827,1844,63
"0291001",245,74,324,6
"0291002",246,118,227,8
"0291003",247,131,814,33
"0291004",248,49,282,8
"0291005",249,52,227,12
"0291006",250,158,684,17
"0291007",251,119,458,14
"0291008",252,148,844,19
"0291009",253,292,466,20
"0291010",254,61,241,5
"0291011",255,43,136,3
"0291012",256,239,564,27
"0291013",257,123,788,28
"0291014",258,62,382,7
"0291015",259,80,374,10
"0291016",260,69,347,5
"0291017",261,26,52,2
"0291018",262,167,647,19
"0291019",263,57,240,7
"0291020",264,200,724,34
"0291021",265,126,506,13
"0291022",266,74,288,5
"0291023",267,113,718,22
"0291024",268,467,938,37
"0291025",269,22,148,7
"0291026",270,76,373,8
"0291027",271,44,65,7
"0291028",272,87,286,7
"0291029",273,136,590,17
"0291030A",274,9,7,1
"0291030B",275,0,0,0
"0291031",276,78,441,10
"0291032",277,105,677,27
"0291033",278,204,461,22
"0291034",279,685,780,49
"0291035",280,104,96,11
"0291036",281,526,913,48
"0291037",282,231,656,18
"0291038",283,382,845,28
"0291039",284,167,646,26
"0291040",285,164,773,23
"0291041",286,114,569,27
"0291042",287,73,343,10
"0291043",288,191,398,15
"0291044",289,177,686,13
"0291045",290,264,1001,21
"0291046",291,156,655,7
"0291047",292,128,474,17
"0291048",293,176,642,23
"0291049",294,216,713,17
"0291050",295,148,428,16
"0291051",296,256,550,11
"0291052",297,198,562,17
"0291053",298,23,68,1
"0291054",299,213,701,21
"0291055",300,321,651,45
"0291056",301,361,760,38
"0291057",302,394,453,26
"0291058",303,450,526,22
"0291059",304,51,82,4
"0291060",305,181,809,25
"0291061",306,150,673,27
"0291062",307,31,30,0
"0291063",308,360,370,16
"0291064A",309,225,259,20
"0291064B",310,0,0,0
"0291065",311,409,508,21
"0291066",312,92,186,10
"0291067",313,727,559,32
"0291068",314,212,292,26
"0291069",315,131,146,10
"0291070",316,134,278,11
"0291071",317,283,553,30
"0291072",318,205,630,19
"0291073",319,733,1031,55
"0291074",320,4,5,0
"0291075",321,147,548,16
"0291076",322,416,804,34
"0291077",323,111,542,19
"0291078",324,30,164,7
"0291079",325,362,750,34
"0291080",326,398,1316,53
"0291081",327,557,288,15
"0291082",328,595,1278,61
"0291083",329,531,902,50
"0291084",330,217,501,15
"0291085",331,163,455,15
"0291086",332,316,733,29
"0291087",333,157,407,9
"0291088",334,69,266,4
"0291089",335,267,369,22
"0291090",336,0,0,0
"0291091",337,252,672,25
"0291092",338,64,246,3
"0291093",339,157,262,23
"0291094",340,216,511,39
"0291095",341,30,46,8
"0291096",342,2,7,0
"0291097",343,76,235,6
"0291098",344,50,270,7
"0291099",345,446,946,34
"0291100",346,442,845,21
"0291101",347,0,0,0
"0291102",348,226,185,12
"0291103",349,117,110,8
"0291104",350,606,1029,52
"0291105",351,79,144,12
"0291106",352,0,0,0
"0291107",353,432,653,22
"0291108",354,1099,1364,82
"0291109",355,2,1,0
"0291110",356,421,743,36
"0291111",357,873,1473,68
"0291112",358,505,1310,61
"0291113",359,472,875,41
"0291114",360,0,0,0
"0291115",361,38,48,3
"0291116",362,273,294,18
"0291117",363,46,101,7
"0291118",364,554,646,48
"0291119",365,11,30,1
"0291120",366,6,33,0
"0291121",367,647,882,48
"0291122",368,1203,1449,64
"0291123",369,108,131,8
"0291124",370,94,187,14
"0291125",371,508,656,39
"0291126",372,0,0,0
"0291127",373,42,170,3
"0291128",374,180,348,28
"0291129",375,198,330,13
"0291130",376,0,0,0
"0291131",377,0,0,0
"0291132",378,0,2,0
"0291133",379,1,0,0
"0291134",380,0,0,0
"0291135",381,0,0,0
"0291136",382,54,79,2
"0291137",383,0,0,0
"0291138",384,55,154,9
"0291139",385,100,267,11
"0291140",386,184,345,22
"0291141",387,305,478,27
"0291142",388,200,480,25
"0291143",389,634,763,35
"0291144",390,1169,832,51
"0291145",391,72,52,4
"0291146",392,42,32,1
"0291147",393,367,761,33
"0291148",394,55,120,5
"0291149",395,305,652,23
"0291150",396,349,615,28
"0291151",397,289,394,22
"0292001",398,31,202,8
"0292002",399,61,359,9
"0292003",400,76,560,23
"0292004",401,131,744,22
"0292005",402,82,356,12
"0292006",403,0,5,0
"0292007",404,94,485,14
"0292008",405,55,290,12
"0292009",406,224,578,19
"0292010",407,236,417,35
"0292011",408,95,570,25
"0292012",409,60,404,9
"0292013",410,97,395,11
"0292014",411,109,393,12
"0292015",412,78,477,12
"0292016",413,31,334,8
"0292017",414,44,276,11
"0292018",415,104,416,15
"0292019",416,66,453,20
"0292020",417,88,700,18
"0292021",418,155,730,21
"0292022",419,81,412,17
"0292023",420,237,981,36
"0292024",421,163,543,18
"0292025",422,220,864,27
"0292026",423,288,765,32
"0292027",424,174,517,22
"0292028",425,322,894,35
"0292029",426,80,335,7
"0292030",427,79,405,14
"0292031",428,63,419,17
"0292032",429,35,163,4
"0292033",430,38,168,8
"0292034",431,48,215,6
"0292035",432,180,644,33
"0292036",433,327,749,37
"0292037",434,395,441,17
"0292038",435,275,520,31
"0292039A",436,114,549,25
"0292039B",437,0,0,0
"0292040",438,285,773,38
"0292041",439,261,952,19
"0292042",440,100,471,14
"0292043",441,113,555,15
"0292044",442,168,595,23
"0292045",443,216,941,26
"0292046",444,291,890,29
"0292047",445,226,639,28
"0292048",446,105,529,19
"0292049",447,315,875,32
"0292050",448,241,609,25
"0292051",449,71,183,8
"0292052",450,75,307,5
"0292053",451,86,399,22
"0292054",452,198,888,24
"0292055",453,261,980,29
"0292056",454,136,452,20
"0292057",455,178,640,30
"0292058",456,224,659,27
"0292059",457,210,669,32
"0292060",458,145,466,21
"0292061",459,196,334,24
"0292062",460,186,373,18
"0292063",461,692,425,33
"0292064",462,355,746,41
"0292065",463,639,1301,54
"0292066",464,1006,1144,58
"0292067",465,28,133,3
"0292068",466,937,1268,55
"0292069",467,421,896,39
"0292070",468,88,586,16
"0292071",469,41,190,4
"0292072",470,609,973,59
"0292073",471,139,372,12
"0292074",472,54,240,5
"0292075",473,40,286,6
"0292076",474,524,710,46
"0292077",475,524,735,50
"0292078",476,369,727,41
"0292079",477,22,178,7
"0292080",478,153,419,15
"0292081",479,109,285,19
"0292082",480,183,470,14
"0292083",481,69,310,14
"0292084",482,1059,969,64
"0292085",483,155,471,20
"0292086",484,677,988,56
"0292087",485,514,519,29
"0292088",486,641,1233,62
"0292089",487,27,120,5
"0292090",488,215,570,17
"0292091",489,349,909,33
"0292092",490,84,125,10
"0292093",491,189,313,17
"0292094",492,58,60,4
"0292095",493,796,504,28
"0292096",494,250,697,35
"0292097",495,384,774,37
"0292098",496,189,381,23
"0292099",497,363,493,30
"0292100",498,172,376,29
"0292101",499,412,354,25
"0292102",500,580,807,39
"0292103",501,11,89,1
"0292104",502,11,86,3
"0292105",503,32,183,1
"0292106",504,66,149,11
"0292107",505,500,843,39
"0292108",506,343,337,23
"0292109",507,0,3,0
"0292110",508,240,343,18
"0292111",509,167,336,15
"0292112",510,345,556,23
"0292113",511,10,22,2
"0292114",512,286,676,38
"0292115",513,1124,1113,61
"0292116",514,0,2,0
"0292117",515,35,201,6
"0292118",516,0,13,0
"0292119",517,62,157,6
"0292120",518,223,288,17
"0292121",519,81,132,9
"0292122",520,142,515,24
"0292123",521,531,509,36
"0292124",522,173,239,8
"0292125",523,305,425,23
"0292126",524,228,394,17
"0292127",525,555,782,49
"0292128",526,126,608,19
"0292129",527,1,2,0
"0292130",528,379,681,43
"0292131",529,54,120,8
"0292132",530,0,1,0
"0292133",531,79,105,2
"0292134",532,138,367,23
"0292135",533,70,204,8
"0292136",534,860,1149,72
"0292137",535,182,343,22
"0292138",536,153,305,22
"0292139",537,425,566,35
"0292140",538,209,469,25
"0292141",539,280,432,25
"0292142",540,63,172,11
"0292143",541,449,584,36
"0292144",542,323,669,34
"0292145",543,86,117,4
"0292146",544,8,26,1
"0292147",545,74,150,5
"0292148",546,572,1302,76
"0292149",547,242,571,25
"0292150",548,0,3,0
"0292151",549,2,7,0
"0292152",550,50,198,12
"0292153",551,42,107,10
"0292154",552,841,1162,73
"0292155",553,1,0,0
"0292156",554,164,402,15
"0292157",555,0,0,0
"0292158",556,0,0,0
"0292159",557,39,63,2
"0292160",558,0,1,0
"0293001",559,994,822,44
"0293002",560,594,681,42
"0293003",561,22,19,2
"0293004",562,0,1,0
"0293005",563,952,444,23
"0293006",564,346,342,17
"0293007",565,778,739,33
"0293008",566,42,18,1
"0293009",567,9,2,0
"0293010",568,98,171,5
"0293011",569,321,352,12
"0293012",570,440,196,11
"0293013",571,419,630,39
"0293014",572,141,177,6
"0293015",573,89,113,6
"0293016",574,61,59,4
"0293017",575,1120,463,33
"0293018",576,643,588,24
"0293019",577,100,209,16
"0293020",578,780,948,45
"0293021",579,1170,549,31
"0293022",580,519,528,23
"0293023",581,518,823,32
"0293024",582,0,0,0
"0293025",583,591,547,24
"0293026",584,558,471,28
"0293027",585,490,443,35
"0293028",586,569,520,31
"0293029",587,312,405,23
"0293030",588,819,626,26
"0293031",589,6,9,0
"0293032",590,364,703,32
"0293033",591,849,477,25
"0293034",592,1392,417,34
"0293035",593,210,265,6
"0293036",594,689,1246,69
"0293037",595,681,894,55
"0293038",596,371,398,20
"0293039",597,1466,821,67
"0293040",598,604,632,33
"0293041",599,185,169,7
"0293042",600,749,527,31
"0293043",601,1093,523,42
"0293044",602,450,446,27
"0293045",603,609,384,25
"0293046",604,486,472,18
"0293047",605,597,633,30
"0293048",606,453,568,33
"0293049",607,805,649,31
"0293050",608,372,312,15
"0293051",609,156,89,9
"0293052",610,1412,1170,54
"0293053",611,575,551,18
"0293054",612,362,576,25
"0293055",613,1303,470,36
"0293056",614,341,628,24
"0293057",615,186,180,6
"0293058",616,613,1013,66
"0293059",617,505,439,21
"0293060",618,502,606,46
"0293061",619,426,573,27
"0293062",620,12,13,1
"0293063",621,560,626,28
"0293064",622,117,152,10
"0293065",623,8,27,0
"0293066",624,550,620,38
"0293067",625,499,489,44
"0293068",626,342,828,44
"0293069",627,947,1031,54
"0293070",628,865,814,37
"0293071",629,538,833,41
"0293072",630,1283,908,54
"0293073",631,412,550,18
"0293074",632,853,785,57
"0293075",633,1303,755,65
"0293076",634,586,382,14
"0293077",635,808,769,37
"0293078",636,906,806,59
"0293079",637,1069,917,49
"0293080",638,360,320,19
"0293081",639,638,686,33
"0293082",640,643,688,35
"0293083",641,517,415,33
"0293084",642,882,854,61
"0293085",643,365,375,19
"0293086A",644,601,545,24
"0293086B",645,0,0,0
"0293087",646,522,378,23
"0293088",647,1092,814,38
"0293089",648,1881,833,85
"0293090",649,930,811,71
"0293091",650,403,182,11
"0293092",651,1236,629,47
"0293093",652,1593,1100,53
"0293094",653,1191,821,38
"0293095",654,426,850,38
"0293096",655,1185,848,55
"0293097",656,3,1,0
"0293098",657,408,367,28
"0293099",658,979,926,53
"0293100",659,774,866,41
"0293101",660,775,745,38
"0293102",661,1073,818,57
"0293103",662,137,208,8
"0293104",663,875,736,52
"0293105",664,875,819,57
"0293106A",665,659,399,29
"0293106B",666,0,0,0
"0293107",667,281,552,28
"0293108",668,599,358,27
"0293109",669,576,887,48
"0293110",670,805,845,55
"0293111",671,0,2,0
"0293112",672,247,488,26
"0293113",673,156,348,19
"0293114",674,985,516,29
"0293115",675,691,592,27
"0293116",676,369,516,28
"0293117",677,1033,887,60
"0293118",678,264,291,20
"0293119",679,961,1107,62
"0293120",680,809,944,54
"0293121",681,1273,1111,59
"0293122",682,678,630,38
"0293123",683,201,119,10
"0293124",684,976,781,41
"0293125A",685,1175,787,52
"0293125B",686,3,1,0
"0293126",687,590,407,22
"0293127",688,790,1070,55
"0293128",689,23,21,3
"0293129",690,684,1050,53
"0293130",691,746,447,21
"0293131",692,0,3,0
"0293132",693,218,422,11
"0293133",694,0,0,0
"0293134",695,403,1043,36
"0293135",696,206,305,18
"0293136",697,138,166,10
"0293137",698,1311,1072,55
"0293138",699,27,9,1
"0293139",700,303,449,25
"0293140",701,77,149,7
"0293141",702,279,439,20
"0293142",703,61,109,2
"0293143",704,386,479,22
"0293144",705,63,72,4
"0293145",706,953,797,41
"0293146",707,706,1097,50
"0293147",708,616,815,38
"0293148",709,435,294,13
"0293149",710,264,1254,48
"0293150",711,8,8,0
"0293151",712,914,835,38
"0293152",713,244,498,36
"0293153",714,447,451,19
"0293154",715,652,422,17
"0293155",716,869,659,45
"0293156",717,9,8,0
"0293157",718,861,779,56
"0293158",719,25,19,0
"0293159",720,368,610,37
"0293160",721,490,375,29
"0293161",722,505,783,25
"0293162",723,265,372,29
"0293163",724,858,642,43
"0293164",725,723,428,27
"0293165",726,1184,917,61
"0293166",727,126,179,12
"0293167",728,5,1,0
"0293168",729,76,96,4
"0293169",730,44,28,2
"0293170",731,0,0,0
"0293171",732,0,1,0
"0293172",733,98,173,7
"0293173",734,1076,890,49
"0293174",735,1575,1003,53
"0293175",736,172,206,11
"0293176",737,20,18,0
"0293177",738,0,0,0
"0293178",739,0,0,0
"0293179",740,1,1,0
"0293180",741,269,354,29
"0293181",742,757,503,25
"0293182",743,235,264,16
"0293183",744,9,1,0
"0293184",745,55,44,5
"0293185",746,122,113,5
"0293186",747,1,0,0
"0293187",748,0,0,0
"0293188",749,0,0,0
"0293189",750,262,336,10
"0293190",751,97,124,5
"0293191",752,75,52,1
"0293192",753,0,0,0
"0293193",754,66,53,3
"0293194",755,1253,702,46
"0293195",756,246,842,39
"0293196",757,6,3,0
"0293197",758,0,0,0
"0293198",759,190,197,14
"0293199A",760,1069,722,32
"0293199B",761,0,0,0
"0293200",762,0,0,0
"0293201",763,1490,835,44
"0293202",764,325,236,12
"0293203",765,175,113,14
"0293204",766,0,0,0
"0293205",767,0,0,0
"0293206A",768,6,51,3
"0293206B",769,0,0,0
"0293206C",770,0,0,0
"0293207",771,1,3,0
"0293208",772,11,28,1
"0293209",773,347,216,13
"0293210",774,545,501,23
"0294001",775,373,917,42
"0294002",776,45,258,9
"0294003",777,56,353,10
"0294004",778,91,304,10
"0294005",779,101,621,31
"0294006",780,46,228,7
"0294007A",781,175,181,12
"0294007B",782,0,0,0
"0294007C",783,0,0,0
"0294007D",784,0,0,0
"0294007E",785,0,0,0
"0294008",786,173,247,10
"0294009",787,47,243,10
"0294010",788,28,332,5
"0294011",789,41,394,13
"0294012",790,41,208,5
"0294013",791,84,284,13
"0294014",792,27,130,3
"0294015",793,125,642,18
"0294016",794,197,800,38
"0294017",795,186,886,37
"0294018",796,143,512,21
"0294019",797,240,698,30
"0294020",798,169,354,21
"0294021",799,200,303,21
"0294022",800,27,27,2
"0294023",801,371,674,28
"0294024",802,369,792,27
"0294025",803,131,352,17
"0294026",804,305,999,42
"0294027",805,188,510,24
"0294028",806,227,862,27
"0294029",807,106,686,15
"0294030",808,11,119,1
"0294031",809,161,503,15
"0294032",810,234,531,20
"0294033",811,432,923,26
"0294034",812,245,495,24
"0294035",813,5,15,0
"0294036",814,192,935,26
"0294037",815,55,501,7
"0294038",816,643,1040,64
"0294039",817,36,434,8
"0294040",818,66,406,13
"0294041",819,83,653,16
"0294042",820,21,26,0
"0294043",821,476,842,47
"0294044",822,199,368,20
"0294045",823,396,668,41
"0294046",824,688,729,34
"0294047",825,333,708,26
"0294048",826,123,549,18
"0294049",827,298,618,23
"0294050",828,481,394,32
"0294051",829,596,498,40
"0294052",830,576,548,35
"0294053",831,328,515,22
"0294054",832,777,1004,56
"0294055",833,404,330,26
"0294056",834,721,742,38
"0294057",835,681,403,22
"0294058",836,569,366,34
"0294059",837,526,570,39
"0294060",838,338,522,28
"0294061",839,248,569,27
"0294062",840,92,191,9
"0294063",841,129,214,10
"0294064",842,485,570,24
"0294065",843,364,1070,52
"0294066",844,483,936,52
"0294067",845,308,395,19
"0294068",846,68,137,8
"0294069",847,364,213,13
"0294070",848,386,1045,43
"0294071",849,723,151,23
"0294072",850,1137,448,29
"0294073",851,358,326,41
"0294074",852,447,398,22
"0294075",853,48,235,9
"0294076",854,311,790,41
"0294077",855,428,808,25
"0294078",856,522,158,13
"0294079",857,405,320,20
"0294080",858,279,572,29
"0294081",859,107,76,9
"0294082",860,75,517,20
"0294083",861,135,191,11
"0294084",862,38,132,6
"0294085",863,12,0,0
"0294086",864,130,81,9
"0294087",865,380,628,22
"0294088",866,509,1044,34
"0294089",867,598,752,42
"0294090",868,441,520,38
"0294091",869,173,338,18
"0294092",870,479,418,17
"0294093",871,507,639,38
"0294094",872,443,463,24
"0294095",873,398,446,20
"0294096",874,359,629,24
"0294097",875,368,437,26
"0294098",876,347,434,24
"0294099",877,203,331,19
"0294100",878,187,273,10
"0294101",879,286,187,11
"0294102",880,75,211,18
"0294103",881,0,0,0
"0294104",882,374,461,25
"0294105",883,542,448,36
"0294106",884,46,108,7
"0294107",885,332,412,14
"0294108",886,691,826,58
"0294109",887,138,230,13
"0294110",888,128,461,21
"0294111",889,8,108,1
"0294112",890,299,231,12
"0294113",891,44,247,6
"0294114",892,13,10,0
"0294115",893,60,47,4
"0294116",894,16,13,1
"0294117",895,143,162,12
"0294118",896,40,6,1
"0294119",897,68,256,7
"0294120",898,24,58,2
"0294121",899,54,38,0
"0294122",900,9,41,1
"0294123",901,18,55,0
"0294124",902,158,579,21
"0294125",903,6,26,1
"0294126",904,420,263,17
"0294127",905,10,12,0
"0294128",906,29,61,5
"0294129",907,31,15,2
"0294130",908,150,194,14
"0294131",909,48,103,5
"0294132",910,373,709,27
"0294133",911,15,2,0
"0294134",912,2,2,0
"0294135",913,0,0,0
"0294136",914,122,58,4
"0294137",915,48,8,0
"0294138",916,2,2,0
"0294139",917,0,0,0
"0294140",918,0,0,0
"0294141",919,11,82,1
"0294142",920,32,191,5
"0294143",921,377,1114,40
"0294144",922,190,100,7
"0294145",923,4,2,0
"0294146",924,5,12,0
"0294147",925,59,88,5
"0294148",926,34,50,5
"0294149",927,63,104,6
"0294150",928,225,488,23
"0294151",929,224,62,6
"0294152",930,342,524,25
"0294153",931,25,24,2
"0294154",932,138,210,6
"0294155",933,251,1038,49
"0294156",934,108,323,12
"0294157",935,146,641,36
"0294158",936,75,157,10
"0294159",937,4,3,0
"0294160",938,194,511,23
"0294161",939,18,188,2
"0294162",940,446,571,33
"0294163",941,309,634,35
"0294164",942,726,523,32
"0294165",943,35,19,0
"0294166",944,39,75,4
"0294167",945,5,7,1
"0294168",946,285,612,23
"0294169",947,103,90,3
"0294170",948,62,100,6
"0294171",949,341,317,26
"0294172",950,255,296,17
"0294173",951,390,443,31
"0294174",952,230,360,24
"0294175",953,0,0,0
"0294176",954,284,254,11
"0294177",955,1,18,0
"0294178",956,0,2,0
"0294179",957,739,745,56
"0294180",958,2,0,0
"0294181",959,0,0,0
"0294182",960,1,0,0
"0294183",961,11,41,2
"0294184",962,0,9,1
"0294185",963,2,0,0
"0294186",964,11,47,1
"0294187",965,0,0,0
"0294188",966,0,1,0
"0294189",967,91,263,7
"0294190",968,0,2,0
"0294191",969,0,0,0
"0294192",970,0,0,0
"0294193",971,6,12,1
"0294194",972,132,156,14
"0294195",973,0,0,0
"0294196",974,0,0,0
"0294197",975,1,4,0
"0294198",976,190,512,25
"0294199",977,176,305,15
"0294200",978,358,820,30
"0294201",979,7,2,0
"0294202",980,0,0,0
"0294203",981,34,141,10
"0294204",982,1,2,0
"0294205",983,24,31,3
"0294206",984,81,121,4
"0294207",985,12,2,1
"0294208",986,0,0,0
"0294209",987,23,4,0
"0294210",988,1,3,2
"0294211",989,1,19,0
"0294212",990,3,0,0
"0294213",991,0,1,0
"0310102",992,1009,338,44
"0310201",993,1058,380,44
"0310302",994,525,254,19
"0310303",995,278,88,3
"0310304",996,132,58,3
"0310401",997,1070,414,40
"0330004A",998,52,3,0
"0330004B",999,29,2,0
"033001A",1000,34,5,1
"033001B",1001,51,3,1
"033002AA",1002,54,4,1
"033002AB",1003,13,1,0
"033002B",1004,26,3,0
"033003A",1005,14,1,0
"033003B",1006,35,2,0
"0350001",1007,361,63,11
"0350002",1008,349,102,8
"0350003",1009,491,112,16
"0350004",1010,262,36,5
"0350005",1011,681,179,17
"0350006",1012,572,136,23
"0350007",1013,357,67,11
"0350008A",1014,1054,263,29
"0350008B",1015,1,0,0
"0350009",1016,442,113,7
"0350010",1017,631,151,7
"0350011",1018,415,87,14
"0370007",1019,1207,666,33
"0370009",1020,845,434,26
"0370010",1021,915,211,14
"0370011",1022,1219,177,25
"0370012",1023,1079,187,23
"0370013",1024,66,20,2
"0370014",1025,1119,446,16
"0370015",1026,274,34,1
"0370016",1027,636,90,11
"0370017",1028,741,123,15
"0370018",1029,995,220,25
"0370019",1030,394,33,1
"037001A",1031,50,376,7
"037001B",1032,121,359,6
"0370020",1033,208,117,3
"0370021",1034,117,25,2
"0370022",1035,158,39,2
"0370024",1036,243,55,3
"0370025",1037,545,124,11
"0370027",1038,334,19,6
"0370028",1039,396,29,8
"0370029",1040,159,20,7
"037002A",1041,115,347,7
"037002B",1042,74,100,3
"037002C",1043,61,383,8
"037002D",1044,13,17,1
"0370030",1045,552,167,13
"037003A",1046,471,274,17
"037003B",1047,142,209,11
"037004A",1048,164,222,7
"037004B",1049,534,284,26
"037004C",1050,101,141,3
